phiSim, phiPrep, phiNoprep
11.326026,11.537958,12.512111
1.029728,1.296388,-5.667860
21.611487,21.645582,24.404674
4.779995,4.752109,-1.881106
29.830378,29.995984,35.167889
21.502362,21.842372,27.982834
-13.269696,-13.577663,-40.966155
-8.795682,2.101141,3.637389
37.366791,37.525254,37.606967
17.571659,17.727662,21.068041
-20.261827,-20.558717,-24.468611
-49.254816,-49.129713,-49.604989
41.340348,41.292680,52.367125
0.833090,10.776870,11.324665
13.719532,17.270832,17.335549
-12.491068,-12.711141,-16.037635
18.122880,18.288706,31.423896
-3.935046,-5.125463,-4.528806
9.821843,9.948921,18.720293
4.418423,5.506077,6.656254
-5.505503,-5.681230,-8.772854
-5.443634,5.604881,-4.706356
-46.695828,-46.835529,-54.452470
32.025291,31.999456,32.057716
11.932971,12.386797,12.969866
7.858830,7.980767,39.873090
-5.349494,-5.310274,-4.619295
-28.983625,-29.280282,-30.055623
-23.519272,-24.703913,-28.080790
4.452915,8.159126,59.145448
33.893753,34.071227,34.660636
13.075519,13.287837,11.816905
-44.748790,-45.703415,-47.612268
15.131175,15.266545,15.466832
19.359189,19.846425,28.362060
-15.309799,-15.613926,-15.341610
-6.650646,-6.829875,-8.864161
-37.031847,-37.125482,-41.588887
20.639416,20.778603,19.848586
-23.300731,-26.789512,-30.285979
-0.859334,NaN,NaN
32.892302,33.364101,33.721755
-21.254774,-21.481952,-33.239037
47.693195,47.602972,51.074953
13.365816,14.643779,24.874334
-3.593745,-3.491633,-9.872945
13.088044,12.461335,42.640482
-18.328035,-18.563421,-20.346301
29.003774,29.243071,31.365670
-22.047605,-22.443703,1.714350
-32.165312,-42.780647,-31.900232
2.240648,2.208027,2.876220
16.526237,16.451433,35.739654
-32.665030,-32.898314,-24.369586
-23.889299,NaN,-47.991122
0.401305,7.501417,2.197772
2.530641,2.528323,7.399329
-9.783199,-10.000737,-16.160212
10.956597,10.879637,11.963561
-2.403527,-2.492570,-16.897334
-8.851828,-9.120906,-8.712929
-16.535943,-16.501607,-20.018288
8.188805,8.151525,56.339578
-27.653220,-27.872008,-32.890351
46.093173,46.275843,NaN
-29.290047,-26.081243,-14.057014
-31.649426,-31.911584,-30.770502
-25.762598,-28.025930,-25.847186
-30.001443,-30.396677,-30.437282
30.955723,31.121066,30.989917
-25.034506,-25.447109,-31.656478
-13.273873,-18.255865,-17.123079
12.748115,12.931457,NaN
-6.303760,0.674780,0.672313
-4.166884,-4.418083,3.930690
48.982204,48.811576,59.636849
-23.604971,-23.878606,-23.524093
-14.601311,-14.877847,-15.469013
-10.147683,-10.371310,11.631853
4.274743,4.124063,2.016539
15.197095,17.359730,19.248470
-24.204356,-24.607105,-23.688114
6.243807,6.067668,12.314340
-18.282129,-19.294888,6.640760
61.595588,61.291089,60.980158
-9.474282,-9.517087,-9.341865
20.998211,21.864147,26.348301
4.196982,4.154373,4.302285
-0.746098,-0.753040,1.933811
7.633963,7.607275,18.706313
-45.488847,-45.484967,-40.493681
-42.947716,-42.923552,-43.593493
-7.800399,-7.997239,-24.457154
-16.508670,-16.533154,-16.897184
8.745254,8.225440,18.775821
13.703732,14.031050,13.268153
7.493295,8.603065,46.816788
9.402022,16.410196,9.991370
19.296055,19.369706,19.387453
-9.335047,-9.416190,-14.273550
3.101433,NaN,NaN
8.872857,8.561590,16.865584
-9.372187,-9.417581,28.218119
-6.611728,1.798974,-1.695788
27.773262,29.205050,33.165628
-1.910208,-1.968104,-0.527379
-81.884412,-81.780189,-81.794757
-35.682299,-35.774098,-35.774374
-6.846441,-7.077201,10.583714
25.092304,25.218249,24.050084
27.986897,27.962605,29.397722
21.618305,20.517248,28.299751
4.937537,4.740368,17.217470
-6.304747,-5.587749,-6.527725
8.337990,8.263276,8.529856
-22.686127,-23.044649,NaN
-44.686153,-44.648202,-44.746214
10.911600,10.953719,-0.835656
2.296407,2.369180,-13.744718
6.931282,7.683019,-8.091310
23.471296,25.255459,21.270752
0.254612,0.019302,-6.544009
18.335797,18.467626,18.918991
-5.628899,-5.517712,-8.168835
-5.004207,-4.996661,-0.738341
0.887731,0.956889,0.852208
-31.833038,-32.097325,-31.328339
59.093878,58.968187,59.076089
-30.361571,-30.738605,-29.475492
-3.040805,-3.414165,6.335469
-19.371456,-19.602762,-17.648565
-1.649552,-0.187570,-1.499919
-2.635872,-2.542677,-65.197150
21.571831,23.349217,23.128781
42.332527,42.370773,43.758926
-23.959421,-24.485829,-24.203296
9.217698,9.416973,28.090819
-16.120048,-18.662647,-15.021583
-9.768057,-10.147701,2.135091
-6.299191,-3.128101,-4.733609
-11.939257,-13.371109,-15.490593
18.599744,18.799886,21.599767
-40.483983,-41.697131,-42.306263
7.610919,7.824761,-4.016930
-13.049984,-13.238109,-17.545533
3.505671,19.383152,30.241789
-1.959701,-1.940435,1.666423
31.242146,31.220049,24.801408
4.791214,4.731738,7.195661
-20.824214,-21.169808,-1.366774
-5.702318,-5.778903,-6.678757
47.386652,47.273067,48.884978
28.938305,28.929324,53.848749
-3.843549,-3.699088,-10.877284
24.710620,25.081002,27.875756
-1.792864,-1.750377,1.951022
7.184188,7.246884,19.263312
8.764067,8.768630,13.304648
-40.379478,-40.591442,-40.283418
-52.132545,-53.011074,-52.181154
34.221445,34.146751,43.083423
20.949398,21.528710,22.926550
19.099261,19.287765,NaN
-5.143111,0.845113,2.041266
-14.189993,-14.217276,-14.619415
21.681776,21.849577,20.683653
-57.106069,-56.437054,-57.155610
-3.911794,-5.087356,-4.239099
-35.315323,-35.463150,-35.109112
-3.404288,-0.806576,3.053705
-1.692116,0.056399,0.737676
-5.841439,-8.202169,-1.476420
-2.609540,-2.905250,0.598555
-28.572337,-28.818292,-27.734352
3.388079,3.266756,52.479883
-7.344752,-7.351246,-7.216954
-44.802625,-44.764839,-45.748468
35.885931,35.860975,37.129124
-0.138773,0.737410,1.534771
-5.300645,-5.552895,-9.471917
15.909739,16.409963,25.302074
2.765126,0.922912,-1.822386
-19.896660,-20.189528,-24.589231
28.842244,28.949406,28.959780
-59.584154,-59.591016,-59.104318
10.924245,11.204569,12.196678
-30.538715,-29.900342,-28.240159
-23.129455,-23.325255,-16.653231
0.057055,0.072281,23.692233
13.963510,14.183558,14.029258
-33.040302,-33.370566,-35.735834
11.021416,11.178463,21.660514
46.523502,46.504764,49.926885
-35.104487,NaN,-35.068296
23.617649,24.008797,22.869706
-5.936511,-6.150337,-14.303591
9.372619,9.570202,23.745656
19.239036,19.283433,23.214244
0.050590,-0.001016,6.390983
25.273249,25.384236,25.752035
6.574440,6.542355,7.315590
-8.700627,-8.031677,-8.524720
-14.162410,-14.944673,-18.599803
4.027169,4.133900,-7.420490
-0.068576,-0.092078,-0.038318
37.434197,37.282242,41.872300
-27.584140,-34.022957,-30.849337
-28.560754,-28.771369,NaN
25.629604,28.326255,27.713778
14.927905,15.216690,34.686775
-14.555858,-14.845764,-13.761157
9.187358,9.455919,4.048497
36.669869,36.711298,44.929190
14.565700,14.890247,8.600881
-6.309061,-6.317784,-9.537893
-26.916805,-27.141471,-3.485744
-18.574773,-18.695844,-20.859807
6.809722,6.653381,9.248762
-3.007724,-3.022958,-3.560822
-36.959761,-36.369990,-40.938008
-7.370755,-7.820950,4.479204
0.025145,0.157600,-0.705246
7.687674,7.577491,47.187326
-2.128699,3.826072,NaN
-0.133190,2.111908,12.430161
-5.681138,-5.876522,-11.876748
-22.586598,-22.774537,-28.704397
33.558214,33.565560,36.031964
2.571162,2.244785,2.867970
15.514729,16.577502,13.993359
-7.131255,-7.031663,-19.171489
24.025891,24.244283,21.853676
-56.956184,-56.864620,-60.867117
-35.105351,-35.638035,-39.325623
0.005790,-0.022113,0.032795
8.102662,8.202707,60.727611
12.347220,12.415088,17.640364
-17.355034,-17.747665,-17.192365
-13.740865,-14.319143,-16.423681
0.589017,0.321291,-86.596312
16.088857,16.531154,23.715527
30.341533,30.563929,29.693333
9.580459,9.608716,NaN
-0.386737,-0.118022,-2.375106
-1.525261,-1.549260,8.327290
-1.522114,-1.476737,-0.716716
22.936320,22.902671,29.397686
7.516321,9.410687,20.448492
25.798905,25.934916,27.468301
5.224107,5.084394,5.485745
-28.106254,-28.503816,-28.930568
33.427545,33.917775,NaN
6.795693,14.055446,50.498992
-34.128122,-34.284918,-34.077250
40.805449,40.968583,50.220039
-36.769803,-37.176898,-36.794051
12.895309,13.088195,21.980665
-19.926840,-21.961237,-17.366471
-5.158788,-4.898177,21.192974
-8.942912,-8.932769,10.704472
21.552198,21.902453,22.002374
-6.237382,-8.948515,-3.858949
23.146603,23.249286,NaN
-28.811915,-29.130733,-31.845710
-37.053374,-37.358852,-37.817345
-27.732088,NaN,-7.501880
-35.187600,-39.509444,-35.286462
12.858311,12.983831,16.990942
-15.848674,-16.197461,-20.166336
25.610471,26.123109,37.914880
-10.582820,-10.189373,-11.554319
-2.918823,-2.742094,-6.356783
-5.999267,-6.235854,-4.346920
-25.002670,-25.184804,-25.063949
-38.183408,-37.230050,-37.313113
15.140327,16.699519,21.616839
-28.279124,-26.489943,-26.866072
6.920926,6.817165,11.362550
52.658544,52.442728,53.029313
-2.764507,-2.012357,17.406285
12.755173,19.635934,31.754627
-8.519858,-12.210141,6.541247
-11.989665,-12.039977,-10.415556
-34.362066,-34.492671,-34.620098
-4.822660,-4.843652,-11.227390
20.656029,20.803672,26.423600
-40.945136,-40.918640,-43.277489
-9.605589,-11.857111,-10.975905
12.589205,12.843046,15.374435
9.531186,9.494020,84.561198
3.505553,3.510638,5.139530
48.306353,56.676721,54.906498
-24.718189,-24.972070,-24.774205
-7.393781,-7.311378,-44.002945
-3.624365,-3.664112,-8.989990
12.957920,12.994036,7.610301
22.376706,23.214204,27.265283
-12.288434,-12.515532,-11.048085
