WSS, time,phi
0.000000,270.867769,-5.038033
0.000000,270.971074,9.662912
0.000000,271.074380,36.028692
0.000000,271.177686,45.762636
0.000000,271.280992,26.035432
0.000000,271.384298,48.108662
0.000000,271.487603,46.750378
0.000000,271.590909,-78.315075
0.000000,271.694215,60.596148
0.000000,271.797521,71.548047
0.000000,271.900826,63.853259
0.000000,272.004132,16.295770
0.000000,272.107438,26.884794
0.000000,272.210744,27.306110
0.000000,272.314050,69.217901
0.000000,272.417355,40.140862
0.000000,272.520661,11.581607
0.000000,272.623967,12.342169
0.000000,272.727273,5.563710
0.000000,272.830579,26.468037
0.000000,272.933884,0.693458
0.000000,273.037190,-14.028370
0.000000,273.140496,-5.150347
0.000000,273.243802,7.398339
0.000000,273.347107,-45.583321
0.000000,273.450413,-61.527720
0.000000,273.553719,-20.690235
0.000000,273.657025,-8.322144
0.000000,273.760331,-24.333018
0.000000,273.863636,-16.809058
0.000000,273.966942,-5.340902
0.000000,274.173554,27.638185
0.000000,274.276860,17.757186
0.000000,274.380165,-48.284206
0.000000,274.483471,-39.447602
0.000000,274.586777,-43.742680
0.000000,274.690083,-56.771305
0.000000,274.793388,-37.982564
0.000000,274.896694,-12.738810
0.000000,275.000000,-21.243605
0.000000,275.103306,-54.213729
0.000000,275.206612,-31.203927
0.000000,275.309917,89.392645
0.000000,275.413223,84.584902
0.000000,275.516529,77.496123
0.000000,275.619835,61.554587
0.000000,275.723140,35.333183
0.000000,275.826446,-23.952146
0.000000,275.929752,12.289855
0.000000,276.033058,72.735052
0.000000,276.136364,64.233746
0.000000,276.239669,43.233212
0.000000,276.342975,-74.354008
0.000000,276.446281,-72.462701
0.000000,276.549587,-73.694554
0.000000,276.652893,87.973895
0.000000,276.756198,85.034746
0.000000,276.859504,-74.379459
0.000000,276.962810,-30.285816
0.000000,277.066116,79.821678
0.000000,277.169421,55.955457
0.000000,277.272727,78.375424
0.000000,277.376033,62.694132
0.000000,277.479339,70.686566
0.000000,277.582645,61.128402
0.000000,277.685950,35.822580
0.000000,277.789256,-8.542069
0.000000,277.892562,-9.341460
0.000000,277.995868,19.648351
0.000000,278.099174,30.066260
0.000000,278.202479,26.654403
0.000000,278.305785,30.386677
0.000000,278.409091,7.553354
0.000000,278.512397,34.068941
0.000000,278.615702,46.813646
0.000000,278.719008,39.037199
0.000000,278.822314,41.155770
0.000000,278.925620,50.930082
0.000000,279.028926,-2.995348
0.000000,279.132231,-6.499308
0.000000,279.235537,-3.944898
0.000000,279.338843,21.226019
0.000000,279.442149,57.504702
0.000000,279.545455,42.481040
0.000000,279.648760,29.629765
0.000000,279.752066,22.163710
0.000000,279.855372,-16.012166
0.000000,279.958678,-4.274793
0.000000,280.061983,12.721227
0.000000,280.165289,17.027849
0.000000,280.268595,-71.709452
0.000000,280.371901,62.581146
0.000000,280.475207,49.599157
0.000000,280.578512,43.087083
0.000000,280.681818,49.998167
0.000000,280.785124,47.634551
0.000000,280.888430,52.214925
0.000000,280.991736,31.854550
0.000000,281.095041,47.046383
0.000000,281.198347,60.262711
0.000000,281.301653,-45.781111
0.000000,281.404959,-32.890010
0.000000,281.508264,-16.028677
0.000000,281.611570,-26.590260
0.000000,281.714876,-40.723275
0.000000,281.818182,-57.779164
0.000000,281.921488,-55.313109
0.000000,282.024793,-21.302847
0.000000,282.128099,-19.575778
0.000000,282.231405,-46.008159
0.000000,282.438017,-39.522328
0.000000,282.541322,-53.868893
0.000000,282.644628,-27.542882
0.000000,282.747934,18.083226
0.000000,282.851240,25.223300
0.000000,282.954545,39.948121
0.000000,283.057851,68.384633
0.000000,283.161157,-53.768463
0.000000,283.264463,-34.581383
0.000000,283.367769,-19.915708
0.000000,283.471074,26.033844
0.000000,283.574380,46.546342
0.000000,283.677686,65.513215
0.000000,283.780992,49.514970
0.000000,283.884298,52.746037
0.000000,283.987603,52.954471
0.000000,284.090909,-79.145718
0.000000,284.194215,-79.201826
0.000000,284.504132,-21.133644
0.000000,284.607438,-40.885319
0.000000,284.710744,-39.307217
0.000000,284.814050,-27.418898
0.000000,284.917355,-29.344606
0.000000,285.227273,-77.587354
0.000000,285.330579,-58.112248
0.000000,285.433884,-78.063448
0.000000,285.537190,79.292553
0.000000,285.640496,82.233202
0.000000,285.743802,74.957713
0.000000,285.847107,88.569715
0.000000,285.950413,63.312427
0.000000,286.053719,64.463729
0.000000,286.260331,-40.660025
0.000000,286.363636,-76.448019
0.000000,286.466942,-68.594574
0.000000,286.570248,-45.748144
0.000000,286.673554,-62.664197
0.000000,286.776860,-56.806250
0.000000,286.880165,-35.407512
0.000000,286.983471,-24.467846
0.000000,287.086777,-36.396042
0.000000,287.190083,-36.275665
0.000000,287.293388,-6.203408
0.000000,287.396694,-15.229794
0.000000,287.500000,-43.989177
0.000000,287.603306,-49.886061
0.000000,287.706612,-15.943982
0.000000,287.809917,-41.076692
