Pe, phi, Phi
10.820270,-73.422538,0.017844
10.820270,-58.197186,0.068052
10.820270,-42.971835,0.209606
10.820270,-42.537776,0.215598
10.820270,-42.103717,0.221709
10.820270,-41.669658,0.227940
10.820270,-41.235599,0.234289
10.820270,-40.801540,0.240757
10.820270,-40.367481,0.247344
10.820270,-39.933422,0.254049
10.820270,-39.499363,0.260873
10.820270,-39.065304,0.267815
10.820270,-38.631245,0.274874
10.820270,-38.197186,0.282049
10.820270,-37.763127,0.289339
10.820270,-37.329068,0.296742
10.820270,-36.895010,0.304257
10.820270,-36.460951,0.311883
10.820270,-36.026892,0.319620
10.820270,-35.592833,0.327465
10.820270,-35.158774,0.335416
10.820270,-34.724715,0.343471
10.820270,-34.290656,0.351628
